Código,Descripción,Precio ₡,Precio $ (ref),% IVA,publicar,nota
1136,EXAMEN DE ORINA GENERAL,8000,8.53,4,SI,
1875,EXAMEN GENERAL DE HECES,8000,9.36,4,SI,
Electro,Electroforesis de Proteínas,30000,0,4,SI,
Electro hemo,Electroforesis de hemoglobina,25000,0,4,SI,
Trombo,Estudio trombofilias,282000,539.66,4,SI,
Eta,Etanol,17000,0,4,SI,
501,FACTOR REUMATICO,15000,20.49,4,SI,
876,FERRITINA (SUERO),17500,28.18,4,SI,
304,FIBRINOGENO,14500,17.06,4,SI,
78,FOSFATASA ALCALINA,11000,17.06,4,SI,
64,FOSFORO (SUERO),10000,15.39,4,SI,
FOSF OR,FOSFORO ORINA 24H,10000,0,4,SI,
FB,FROTIS BACTERIOLOGICO,14000,0,4,SI,
FRO HE,FROTIS DE HECES,14000,15.6,4,SI,
FF,FROTIS Y CULTIVO FARINGEO,26000,0,4,SI,
FCB,FROTIS Y CULTIVO POR BACTERIAS,26000,0,4,SI,
hongos,FROTIS Y CULTIVO POR HONGOS,35000,36.4,4,SI,
FU,FROTIS Y CULTIVO URETRAL,28000,0,4,SI,
fv,FROTIS Y CULTIVO VAGINAL,28000,41.6,4,SI,
FSH,FSH (HORMONA  FOLICULO ESTIMULANTE),16500,31.2,4,SI,
Fen,Fenitoina,15000,28.54,4,SI,
Frotis general,Frotis general,15000,26,4,SI,
77,GGTP,11000,17.06,4,SI,
Tiroxina,GLOBULINA FIJADORA DE TIROXINA,91000,0,4,SI,
1160,GLUCOSA,7000,8.53,4,SI,
97,GLUCOSA 1H POST CARGA 50G,8500,11.96,4,SI,
99,GLUCOSA 2H POST CARGA 100G,21000,11.96,4,SI,
98,GLUCOSA 2H POST CARGA 75G,21000,11.96,4,SI,
96,GLUCOSA 2H POST PRANDIAL,14000,11.96,4,SI,
GRAH,GRASAS EN HECES,6500,0,4,SI,
877,GRUPO SANGUINEO Y RH,10000,13.52,4,SI,
611,HAV IgG,20000,33.28,4,SI,
emb,HCG SUB UNIDAD BETA CUALITATIVA (PRUEBA EMBARAZO),10000,13.52,4,SI,
705,HCG SUB UNIDAD BETA CUANTIFICADA,21000,33.28,4,SI,
307,HDL COLESTEROL,7000,8.53,4,SI,
HE4,HE4,20000,36.4,4,SI,
871,HEMATOCRITO HEMOGLOBINA,10400,17.06,4,SI,
glic,HEMOGLOBINA GLICOSILADA,17000,281.84,4,SI,
1122,HEMOGRAMA COMPLETO,12000,17.06,4,SI,
875,HIERRO SERICO Y CAPACIDAD DE FIJACIÓN,17500,26.42,4,SI,
HG,HIGADO GRASO,46800,78,4,SI,
homo,HOMOCISTEINA,26000,31.2,4,SI,
mul,HORMONA ANTIMULLERIANA,45000,0,4,SI,
CREC,HORMONA DE CRECIMIENTO,22000,0,4,SI,
HF,"HORMONAL FEMENINO (FSH, LH, Estradiol, Progesterona)",70000,104,4,SI,
Helico IgG,Helicobacter IgG,17000,0,4,SI,
81,Helicobacter pylori EN HECES,21500,34.11,4,SI,
HemoPromo,Hemograma Promoción,9900,19,0,SI,
HAV G,Hepatitis A IgG,20000,38.11,4,SI,
IGF-1,IGF-1 (SOMATOMEDINA),26000,0,4,SI,
